region,ASTRO,CHANDELIER,ENDO,L2_3_IT,L4_IT,L5_ET,L5_IT,L5_6_NP,L6_CT,L6_IT,L6_IT_CAR3,L6B,LAMP5,LAMP5_LHX6,MICRO_PVM,OPC,OLIGO,PAX6,PVALB,SNCG,SST,SST_CHODL,VLMC,VIP
7Networks_RH_Limbic_TempPole_5,0.0738549883801288,0.0508987370350812,0.0067776100032419,0.0644433283314242,0.0001,0.0672301316886187,0.0001,0.0001,0.0366974431852436,0.2549134155909937,0.0232958370480353,0.00020708095646804,0.0001,0.0064133158983087,0.0284478972910657,0.0610617610879575,0.0590883036864824,0.0506875012239843,0.0001,0.0089940047022473,0.040676069392127,0.0028769660515503,0.0001,0.1634356084470407
7Networks_RH_Limbic_TempPole_6,0.044111539229887,0.030047571547348,0.0071739481443632,0.0452352738827225,0.0001,0.0001,0.1121099737724989,0.1188370046865952,0.0135850762765023,0.1328894644045606,0.0500876452835136,0.0001,0.0157360022028493,0.0256330213763784,0.0805373796351968,0.0341237096067545,0.0127428746746536,0.0340891722448813,0.001053693166021,0.0330036151771451,0.0527995710695689,0.0283934121624093,0.0016798914881006,0.1261301599680486
7Networks_RH_Limbic_TempPole_7,0.0001,0.2137208888062883,0.0082892043821232,0.0001,0.1048252423066356,0.0181454653519595,0.0001,0.0235968596947177,0.0001,0.1076948960161016,0.0648647069638342,0.0396434253938675,0.0612611899211382,0.0256182303118321,0.055135870527825,0.0001,0.0542332970162342,0.0001,0.0001,0.100644241824939,0.0138869952382642,0.0088082532335065,0.0052519228429082,0.0943793101678244
7Networks_RH_Cont_Par_1,0.0254593963819042,0.0001,0.0103968628871434,0.0517866845399692,0.1109535994320735,0.0525317454101868,0.1231097675663948,0.122443542288778,0.0181699982214835,0.0780721095228873,0.0669200599963445,0.0314583651474957,0.0199921083036518,0.0470440213088321,0.0395467075922941,0.0001,0.0147108214008913,0.0001,0.0722125377185893,0.0350542910384194,0.0486229888717377,0.0001,0.00099942011776105,0.0305149722531615
7Networks_RH_Cont_Par_3,0.0001,0.0001,0.0001,0.2294777437842312,0.0001,0.1003627112868116,0.2109941429246736,0.0185199492431769,0.0001,0.0001,0.0001,0.0001,0.0001,0.0072803957580568,0.0287400697683836,0.2739172556691064,0.0001,0.0975443057875828,0.0331634257779766,0.0001,0.0001,0.0001,0.0001,0.0001
7Networks_RH_Cont_Par_4,0.0255927765131303,0.0412407474416301,0.0069342031313641,0.3874723904480009,0.0001,0.0345633625600752,0.022433583628372,0.0121878654744452,0.0001,0.1392988060895251,0.0001,0.0354075201395586,0.0060918603262496,0.0349616414134017,0.0160843767049285,0.059763124742248,0.0142056029099505,0.0505357227677142,0.0001,0.0457768336052988,0.0127251940328117,0.000274756195720225,0.0064980847991539,0.0479515470764205
7Networks_RH_Cont_Par_5,0.0887273216080782,0.0001,0.0114926029196581,0.0276847090500948,0.1128584499002062,0.0794227178825792,0.1511843899887462,0.0326343429811175,0.0234798780002859,0.0001,0.0079035520462655,0.0001,0.0669749522338822,0.0001,0.0314775659558814,0.047520646784165,0.0001,0.0197490315440889,0.0717566610186379,0.0001,0.0001,0.0037592859914467,0.0036598771174472,0.2197140149774184
7Networks_RH_Cont_Par_6,0.0001,0.035171337336437,0.0011370258945601,0.0762703268338021,0.039807456687619,0.1674752756800067,0.2410366259738672,0.0559492495890123,0.0086539087020836,0.0531442940876379,0.0001,0.0323675244656888,0.0501071899220259,0.0068954573074817,0.0140126120800687,0.066781862125407,0.0001,0.0053523203755225,0.0270852370479679,0.0356270635969855,0.0024318756326142,0.0051894984511605,0.0083823159287875,0.067121542281263
7Networks_RH_Cont_Temp_1,0.059753291065495,0.0322908698764484,0.0031256562079977,0.1240985726446874,0.0519441614553635,0.0525500664297895,0.1587814703873798,0.0220994218674063,0.0042116401710259,0.0001,0.042527870615938,0.0221663993800147,0.0293884587516622,0.0068530936043305,0.0286719311377992,0.0629103672580525,0.052425273666914,0.0569007055002907,0.0001,0.0279451049507106,0.0529831029017759,0.0065215776913635,0.0032584554236247,0.0985925090119289
7Networks_RH_Cont_Temp_2,0.049306182436107,0.0496860957644205,0.0044244797497301,0.1687018110366473,0.0310126728208442,0.0097628945144312,0.1938492096175655,0.0562398784418401,0.0001,0.0748454084925569,0.0094159259689474,0.0580503921348391,0.0139958908204366,0.0253301091159238,0.0217194099628892,0.0757223976823645,0.022835410633625,0.0338532481774081,0.0173048296630935,0.0265581743538854,0.0243016588996863,0.0033227411874237,0.0093038795572699,0.0204572989680637
7Networks_RH_Cont_PFCl_1,0.0805078374450281,0.0250915102206086,0.0054406692703751,0.2036029979237649,0.00097504052695006,0.0167848308109278,0.1414255018947467,0.0181101951152657,0.0609589457354987,0.0064697837497068,0.0096710916265172,0.060552098194495,0.0087919944098256,0.0025052679501835,0.0182755760175476,0.0588790369789102,0.029318053578475,0.0088950064790708,0.0001,0.085196760806028,0.0601109930086408,0.0126464551349441,0.0039130261225915,0.0818773269998973
