region,region_name,age_t,age_p,age_p_fdr,age_estimate,age_ci_low,age_ci_high,sex_t,sex_p,sex_p_fdr,sex_estimate,sex_ci_low,sex_ci_high,intercept
93,V3v,-0.709120675240289,0.480951173603815,0.5849818542679246,-2.50867237627054e-05,-9.39203799324124e-05,4.37469326170452e-05,1.28757673013304,0.202757031697437,0.30459105209272064,0.0006097419057424,-0.0003116618177372,0.0015311456320323,0.0400247304347386
46,AL,-1.53467889154474,0.130033499440797,0.21168244095013464,-6.78395490479701e-05,-0.0001540205472002,1.83414493690985e-05,3.6344987491119,0.00057316228147,0.004528284264942667,0.0021505972252441,0.0009969828887498,0.0033042115652834,0.0405350995711439
25,ML,-1.51714905513267,0.134394778227722,0.2138098744531941,-6.98479367710083e-05,-0.0001592808988818,1.95850256126142e-05,1.70459923998582,0.093358025824277,0.16974186513504907,0.0010505016681354,-0.0001466432879323,0.0022476466278537,0.0378166348086237
165,IPa,0.43768569465785,0.663160008301822,0.7452547779634788,1.5952428137523e-05,-5.50328037472106e-05,8.69376602179797e-05,1.24358632884692,0.218409972472419,0.30886258733473393,0.0006067216723343,-0.0003434829312009,0.0015569262784908,0.042093503935779
125,TEO,-0.55189345714119,0.583037695112154,0.6745890687248062,-2.15044184307689e-05,-9.73419897762901e-05,5.43331531925602e-05,1.86655368465651,0.0667724174422941,0.13952445435703245,0.0009735585308235,-4.15992350187343e-05,0.0019887163004696,0.0481530485481254
53,FST,-0.18134674399929,0.856696649436397,0.9155536711534014,-6.04690701624536e-06,-7.10902564140284e-05,5.89964425817581e-05,2.19089870614897,0.032289484032167,0.08529297668874301,0.0009779011384575,0.0001072342633041,0.0018485680162918,0.0410488395275534
24,Ig,1.3541770455213,0.180675391102825,0.26076860571541755,3.76335168059436e-05,-1.67216290799814e-05,9.19886628611445e-05,2.01247197384361,0.0485910024940942,0.11530068388429132,0.0007486491268921,2.10539852639322e-05,0.0014762442707869,0.0365083920169576
72,R,-0.075986530571031,0.939678482423734,0.9532970111545127,-3.61395520984728e-06,-9.66532089010483e-05,8.94252987714782e-05,3.85049996724428,0.0002851463230748,0.0030708065561901535,0.002451389936194,0.001205971349544,0.0036968085267281,0.0431516067831992
150,12o,-1.74156536501495,0.0866255119552344,0.1461153213702749,-7.04734454952744e-05,-0.0001494583158943,8.51142515084608e-06,1.2610404501678,0.21209598302394,0.3061179136428,0.0006830678866559,-0.0003742194598825,0.0017403552365024,0.0408957987556072
102,Pi,-1.84582519925512,0.0697716806090872,0.1285410568325992,-6.28072404125794e-05,-0.0001293470698194,3.73258920146642e-06,2.22591019751557,0.0297254972604804,0.08003018493206261,0.001013855135273,0.0001231564569395,0.0019045538163794,0.0438172414064735
160,TEa,-0.896246910341853,0.373644276518931,0.47182804328824596,-4.57759218222089e-05,-0.0001454342548058,5.388241147355e-05,2.24397366934483,0.0284741618168948,0.07816436577186808,0.0015341799709855,0.0002001587349132,0.0028682012112369,0.0409797189923599
132,36r,-0.224420556447894,0.823180100025164,0.8933737519652942,-1.47455268972058e-05,-0.0001423805719698,0.0001128895185651,1.6470731678519,0.104685585543827,0.18789720482225358,0.001448637348258,-0.0002598786934654,0.0031571533951964,0.0395945191707682
44,TEav,-0.939870002991968,0.350991222663115,0.4549886219707046,-4.87435519240299e-05,-0.0001502268108491,5.2739707329877e-05,1.85805588122681,0.0679885831017225,0.13997649462119338,0.0012899036751702,-6.85459241645211e-05,0.0026483532789057,0.0464294630757418
65,13m,-3.62903990939323,0.0005832046031183,0.0023328184124732,-0.0001211019068042,-0.0001860298146415,-5.61739987683494e-05,4.82859351304832,9.6057938904254e-06,0.00044827038155318533,0.0021568950237794,0.0012877734433149,0.0030260166068976,0.0485444665436173
114,11m,-6.1012558060301,7.89351679943069e-08,7.89351679943069e-07,-0.0003220557375058,-0.0004248158586989,-0.0002192956159983,5.5995045641633,5.4404841497422e-07,7.61667780963908e-05,0.0039564942094131,0.0025809525985031,0.0053320358245328,0.0442267351529555
8,13b,-5.52500271789928,7.22080661275571e-07,5.946546622269409e-06,-0.0002504285885747,-0.000338800161966,-0.0001620570149118,4.18035089286029,9.44890996798048e-05,0.0016624027735344033,0.0025363738793134,0.0013534366171745,0.0037193111450907,0.0434562477898132
47,10mr,1.36312357358106,0.177854090671081,0.25937054889532646,4.00469059281094e-05,-1.72222106399467e-05,9.73160226711102e-05,1.22108184822424,0.226753744016067,0.3174552416224938,0.0004802060632282,-0.0002863953376343,0.0012468074664328,0.0426237758268893
14,10mc,-3.29904589983223,0.0016224568792617,0.005408189597539,-0.0001630885014522,-0.0002592111064765,-6.6965895687691e-05,2.45246138783677,0.0170643030249049,0.0636207360361993,0.0016228795491964,0.0003361873827713,0.0029095717255307,0.042989036330654
127,46d,-3.72040523161611,0.0004352926306365,0.0017923814202679411,-0.0001435624693283,-0.0002185375241913,-6.85874142381524e-05,0.0313264735014059,0.975111452101678,0.9836036063479625,1.61812216231789e-05,-0.0009874309437472,0.0010197933900453,0.0476883689126751
107,12r,-0.432444776957166,0.666943178839827,0.7452547779634788,-1.24019126998999e-05,-6.81115626628258e-05,4.33077374330392e-05,2.24933784768139,0.0281116293583231,0.07816436577186808,0.000863498981045,0.0001177725185989,0.0016092254457225,0.0376208833394065
41,46f,-0.576019737452576,0.566721064345836,0.6611745750701421,-1.84441143952273e-05,-8.0644449812637e-05,4.37562212118681e-05,0.323427381605582,0.747477800886274,0.7868187377750253,0.0001386265298297,-0.0006939839087902,0.000971236970989,0.0440681360701714
51,8Av,-3.12624984906634,0.0027114624904645,0.008076696780107022,-0.0001090326777929,-0.0001767818293402,-4.12835260410562e-05,0.657077230721884,0.513602872745944,0.6042386738187576,0.0003067598646156,-0.0006001267366491,0.0012136464686761,0.0416652510818213
32,8Bs,-6.92347738323082,3.13606264207186e-09,6.272125284143719e-08,-0.0002161665006666,-0.0002769123490518,-0.0001554206520954,1.98696395782174,0.051422492556759,0.119985815965771,0.0008304303794844,1.7289628249094e-05,0.0016435711332075,0.0443775153210443
94,44,-3.85134928172773,0.0002843534047081,0.001206347777549515,-0.000101513893447,-0.0001527156510571,-5.03121356809444e-05,1.25155240634332,0.215511295400255,0.30787327914322143,0.0004415813698714,-0.0002438026811255,0.0011269654229604,0.0425780935560603
133,12l,0.198893584158157,0.843007437477077,0.9078541634368521,7.01006046259215e-06,-6.17681246109888e-05,7.57882457452043e-05,2.11600529127698,0.0384339386734091,0.09608484668352274,0.0009983133158971,7.76521256108158e-05,0.0019189745089818,0.0366500238778091
63,SII,-3.13190593055955,0.0026669341841822,0.008076696780107022,-0.0001050225998818,-0.000170472166134,-3.95730334280547e-05,2.2771990159451,0.0262934704121767,0.07512420117764772,0.0010221724424983,0.0001460679697652,0.0018982769179309,0.0457195479812208
91,7b_(PFG/PF),-2.00016312962656,0.0499401318654044,0.0998802637308088,-6.70527303318079e-05,-0.0001322725982297,-1.83286223466619e-06,2.3549980770742,0.0217559980984548,0.07112634077369702,0.001056794953983,0.0001837652114129,0.0019298246992199,0.037821691176309
111,AIP,1.36822314484662,0.176261039952802,0.25937054889532646,4.49422110678541e-05,-1.91088321187024e-05,0.00010899325446,2.71594870833185,0.0085855663532777,0.04006597631529593,0.0011941755940027,0.0003367916779234,0.0020515595128356,0.043036658747543
99,MST,1.2508720863593,0.215757734002183,0.30511194707379413,3.2421325315614e-05,-1.81197861095369e-05,8.29624368961447e-05,4.94487418921864,6.28735936489904e-06,0.0004401151555429328,0.0017156244779309,0.0010390838022312,0.0023921651557105,0.0420053513403066
121,7a_(Opt/PG),-3.46328248792338,0.0009816078824302,0.0036164500931638952,-9.80876285677069e-05,-0.0001532827542829,-4.28925026821655e-05,2.8103917441105,0.0066423936386112,0.03640330550192054,0.0010654726441668,0.0003266335764501,0.0018043117141632,0.0471824681406384
97,Tpt,-5.30510278947699,1.65469303543399e-06,1.1582851248037932e-05,-0.0001877410146676,-0.0002568048882379,-0.0001186771408846,1.89671268268403,0.0626034527230059,0.1351254256484735,0.0008984957572352,-2.5989644320249e-05,0.0018229811616575,0.0471101641948857
145,PGa,-1.82355888701122,0.0731188856238351,0.1295777719916065,-5.02247785582722e-05,-0.0001040886827802,3.63912583187279e-06,3.97219650152351,0.0001906940593319,0.0026697168306466,0.0014644619347625,0.0007434425283697,0.0021854813434057,0.044649848114554
60,V3d,4.5252022760483,2.84905920996286e-05,0.00016619512058116683,0.0001197234987511,6.81198590211804e-05,0.0001713271386399,0.725553130572214,0.470887257389466,0.5586797969027563,0.0002569565828854,-0.0004338070411637,0.0009477202090588,0.0373392542297601
31,LIPv,4.93346826776106,6.55532136877222e-06,3.990195615774395e-05,0.0001076640127803,6.51805460081293e-05,0.0001501474796743,1.80414118739206,0.0761467785171501,0.14603491770412347,0.0005270330730144,-4.16483925423046e-05,0.0010957145402028,0.0389133433535442
30,VIP,5.76951374137139,2.84100682898007e-07,2.651606373714732e-06,0.0001366649905841,9.05890189943742e-05,0.0001827409623143,1.28252412578153,0.204511134976541,0.30459105209272064,0.000406661194466,-0.0002101093527945,0.0010234317436073,0.0415114621053563
77,5_(PEc),-3.50521263760639,0.0008615578655846,0.003350502810606778,-0.0001374382092515,-0.0002137317810269,-6.11446375129006e-05,0.430738094936845,0.668177036968677,0.7284659026007402,0.000226076555052,-0.0007951852075867,0.0012473383195835,0.0419775915737485
43,5_(PE),2.01152079709385,0.0486941275636256,0.09879967911460266,9.92864324964348e-05,3.40431694335824e-06,0.0001951685483421,1.31200848138333,0.19443332403191,0.29912819081832304,0.0008668643569865,-0.0004166086299467,0.0021503373478376,0.0370007138235086
153,F2_(6DR/6DC),-4.4244780818648,4.06116693720139e-05,0.00022742534848327784,-0.0002202164854668,-0.0003169016977149,-0.000123531272924,0.159366215022712,0.873906856068212,0.8930435025514575,0.0001061776630102,-0.0011880455343037,0.0014004008642708,0.0373141350073309
126,F7,0.427211797025046,0.670729300167131,0.7452547779634788,1.77524138343134e-05,-6.31079622844146e-05,9.8612790200416e-05,0.180077469108051,0.857688646095497,0.8829147827453646,0.0001001665416598,-0.0009822262264076,0.0011825593130395,0.031526211504318
103,F6,-7.2314713275979,9.26587740246823e-10,2.1620380605759202e-08,-0.0002342470579603,-0.0002975521644744,-0.0001709419512501,2.27876511001965,0.0261944235532592,0.07512420117764772,0.0009880892232838,0.0001406903765269,0.0018354880723859,0.0376916634781902
187,24c',0.627584671640552,0.532618283917852,0.6319199978686381,2.38629009138914e-05,-5.03655591728711e-05,9.80913612257403e-05,1.04372877818208,0.300729411740274,0.40482805426575347,0.0005312362388527,-0.0004623820478684,0.001524854528587,0.0369265782636741
85,23c,-3.39473200739093,0.0012126882871117,0.0041408868340399516,-0.0001169269602115,-0.0001843065634139,-4.95473567989813e-05,0.763019381590223,0.44839268292717,0.5411635828431361,0.0003517983989519,-0.0005501414475124,0.0012537382482286,0.0416028702454059
184,30,1.4626799572504,0.148688448751329,0.2289484401501323,7.04779273958583e-05,-2.37891165145505e-05,0.0001647449716,0.786379708050277,0.434689401708712,0.5291870977323451,0.0005072069976475,-0.0007546467246989,0.0017690607239273,0.0398148491902591
56,V6Av,0.141938679161994,0.887596196011222,0.9291826980461806,4.91786522943927e-06,-6.26955701251357e-05,7.25313007954528e-05,0.983736084863637,0.329131138423751,0.43063887270397333,0.0004562507491408,-0.0004488191623301,0.001361320663402,0.0372989086268497
92,TEpd,-3.02729796544977,0.0036120328554629,0.010320093872751143,-0.0001489271335744,-0.0002449786582481,-5.28756086042571e-05,-0.4259078136906,0.671674086628278,0.7284659026007402,-0.0002804680494229,-0.0015662087379906,0.0010052726431134,0.0462846871318326
122,TEpv,-3.99326405993092,0.0001777522867521,0.0008581144877687585,-0.0001567928176429,-0.0002336183934485,-7.99672416051499e-05,1.83503044750522,0.0713779668633838,0.14063509276220834,0.0009644740223595,-6.39091196204639e-05,0.0019928571674469,0.0498300809351672
74,TFO,-0.904697191563159,0.369185152346927,0.47182804328824596,-2.63665696765175e-05,-8.29802861635787e-05,3.02471453610139e-05,4.11052247437922,0.00011981496835,0.0018637883965555557,0.0016036018216273,0.0008457735719894,0.0023614300737742,0.0339471688496392
80,A1,2.58495280308798,0.0121461914826114,0.030917578319374472,8.37889667826456e-05,2.06084306136058e-05,0.0001469695031454,1.43718835565848,0.155774359244012,0.2535861662111823,0.0006235869696515,-0.0002221443849934,0.0014693183268915,0.0363605329714957
68,RPB,-0.151515628041722,0.880068967696495,0.9291826980461806,-4.71713909226283e-06,-6.54693257658555e-05,5.60350477685316e-05,4.29508304319478,6.37081473942535e-05,0.0014865234391992482,0.0017899542952689,0.0009767287000376,0.0026031798930067,0.038607545736094
15,CPB,-2.0792592961439,0.0418048562501989,0.0886769678034522,-7.26016875818021e-05,-0.0001404994876006,-4.70388735531437e-06,2.43288301202569,0.0179264282320055,0.0636207360361993,0.0011371255415589,0.0002282491395963,0.0020460019462251,0.0370641772828203
